"","x"
"19","@amnichols @PsychicHealerC @DrEricDing A friend who is a nurse had covid 2 months ago. She was told to wait 3 month… https://t.co/zRLK0eyBUO"
"20","Rep. Rashida Tlaib Claims Israel Is A ‘Racist State’ For Excluding Palestinians From COVID-19 Vaccine Rollout… https://t.co/0UZ63Lnl28"
"21","RT @MPRnews: Dr. Nathan Chomilo is convinced that the COVID-19 vaccine is safe and effective, but he also doesn’t hesitate to tell his pati…"
"22","RT @drmahendran_r: Took the COVISHIELD vaccine. As a frontline healthcare worker, I join my colleagues in the medical field in taking the v…"
"23","RT @paimadhu: For $55,000, you can fly first-class or private to Dubai, get a month's vacation &amp; two shots of the Pfizer vaccine.

Billiona…"
"24","RT @RAPPcampaign: .@ReElectNydia joins the growing movement of lawmakers, advocates, health experts, and celebrities calling on @NYGovCuomo…"
"25","The number of doses administered has hit 248,185 as of Tuesday afternoon. To date, 779,800 vaccine doses have been… https://t.co/QdAesOSo4m"
"26","RT @News24: Administration of vaccines will be managed very carefully through registration cards and scanners, health department says. 

ht…"
"27","RT @rajpanjabi: Nearly 40 million doses of COVID-19 vaccine have been administered to people in ~50 wealthy countries. 

Just 25 doses have…"
"28","RT @SnarksAndRecTag: <U+0001F489>  While we anxiously await our turn to get a COVID vaccine . . . 

Wouldn't it be nice if there was a shot in the arm…"
"29","RT @HegKong: Would you support the introduction of Vaccine Passports as a requirement for International travel allowing only those who have…"
"30","RT @NYDailyNews: The Wisconsin ex-pharmacist suspected of intentionally destroying more than 500 COVID vaccine doses was formally charged w…"
"31","RT @SnarksAndRecTag: <U+0001F489>  While we anxiously await our turn to get a COVID vaccine . . . 

Wouldn't it be nice if there was a shot in the arm…"
"32","RT @MarketWatch: 24-hour vaccination sites will open in England by the end of the January as the country presses ahead with the biggest vac…"
"33","RT @jasonhaw_: I don't understand why national government keeps invoking non-disclosure agreements on the contract prices of COVID-19 vacci…"
"34","Got my first dose of the Covid vaccine and my arm is unbearably sore <U+0001F623>"
"35","RT @CNN: A new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they've had Cov…"
"36","RT @pakhead: Siam Bioscience may be the best-placed company to make a Covid vaccine at scale in Thailand. But the government has given few…"
"37","RT @FullFact: There is no evidence that the Covid-19 vaccine will affect fertility, and infection itself does not seem to have affected fer…"
"38","RT @Local4News: Michigan officials said 11,900 doses of the Moderna COVID-19 vaccine the state was receiving are ruined and unusable. https…"
"39","RT @FLHealthBroward: DOH-Broward is currently in the onboarding process for the State COVID-19 vaccine appointment scheduling system.  We w…"
"40","@MNageswarRaoIPS @PMOIndia @MEAIndia @DrSJaishankar @BJP4India @RSSorg @VHPDigital After the introduction of Covid… https://t.co/Vdyf4pjD6G"
"41","RT @taslimanasreen: Bangladesh is buying 30 million doses of Covishield vaccine from India and getting a gift of 2 million doses from govt.…"
"42","RT @CNN: A new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they've had Cov…"
"43","RT @EmekaGift: Anonymous have raised alarm that some Nigerian politicians have collected huge amount of money from globalist &amp; promoters of…"
"44","RT @SkyNews: A leading Islamic scholar is calling on Muslims to ignore disinformation campaigns aimed at discouraging them from taking the…"
"45","RT @mayalau: LA Vaccine portal was just updated to allow for anyone 65+ to get an appt, possibly as early as today, according to LA Mayor’s…"
"46","RT @taslimanasreen: Bangladesh is buying 30 million doses of Covishield vaccine from India and getting a gift of 2 million doses from govt.…"
"47","@vikramchandra This is not a new Observation as far as the Original strain itself is concerned,- a second attack &amp;… https://t.co/31mdui76HZ"
"48","RT @NYDailyNews: The number of New Yorkers hospitalized with COVID tops 9,000 for the first time since May 5.

Nearly 170 people died on Mo…"
"49","#UN #Assists #India #COVID19 #Vaccine #Rollout #DY365
UN assists India's mammoth COVID-19 vaccine rollout https://t.co/hWREWxqgO6"
"50","RT @drmahendran_r: Took the COVISHIELD vaccine. As a frontline healthcare worker, I join my colleagues in the medical field in taking the v…"
"51","Hope you like shots and can afford them

It’s looking more and more likely you’ll need a covid shot every year bc i… https://t.co/jH7wRCxMJJ"
"52","RT @GHSdirect: All pharmacies should to be able to play a part in the UK's Covid-19 vaccine programme - Sign the Petition! https://t.co/4aA…"
"53","RT @logic: So #COVID19Vaccination has its own app - tech infra management - #CoWIN.#Thread to keep a watch on this. It is *as* important or…"
"54","MORALITY &amp; FLORIDA-1  One morality ruling is ""line jumping to get the limited vaccine for COVID-19 is immoral."" The… https://t.co/r6sDxXuDmt"
"55","RT @taslimanasreen: Bangladesh is buying 30 million doses of Covishield vaccine from India and getting a gift of 2 million doses from govt.…"
"56","@NBCNews FYI Your vaccine information sign-up page returns an error message https://t.co/SFZBtYHuRN ""MethodNotAllowed"""
"57","Administration of vaccines will be managed very carefully through registration cards and scanners, health departmen… https://t.co/IkppyQueT5"
"58","RT @mercola: Informed consent to medical treatment is a right that ensures patients receive information about the recommended treatment so…"
"59","@S5Talent @TeresaKelly414 @mschlapp I want to start out by saying I don’t support either trump or Biden. But there… https://t.co/r8oPsFc0NS"
"60","RT @cnnphilippines: The Integrated Bar of the Philippines, the national organization of lawyers, says there is 'compelling legal basis for…"
"61","RT @taslimanasreen: Bangladesh is buying 30 million doses of Covishield vaccine from India and getting a gift of 2 million doses from govt.…"
"62","RT @taslimanasreen: Bangladesh is buying 30 million doses of Covishield vaccine from India and getting a gift of 2 million doses from govt.…"
"63","RT @shelbygrad: <U+0001F7E6>City of LA is also offering the vaccine to anyone in LA County who is 65 &amp; older, through a different portal, https://t.co…"
"64","<U+0001F4F0> Ultime news - Parole chiave

Trump #Trump
Biden #Biden
Covid19 #Covid19
COVID19 #COVID19
Coronavirus #Coronavirus… https://t.co/n4A2NuF0W5"
"65","@tobioX_x and then they moan about covid so much but then u ask them if they’re gonna take the vaccine and they say… https://t.co/XwMvJN4Q39"
"66","@StevenPHD24 @business Just saw this, Pandemics like financial crisis have always happened. One of the reasons The… https://t.co/qjzrWDMpP5"
"67","RT @drmahendran_r: Took the COVISHIELD vaccine. As a frontline healthcare worker, I join my colleagues in the medical field in taking the v…"
"68","@Sweetlu55231627 @COVID_19_ZA @CyrilRamaphosa @AUChair2020 @HomeAffairsSA @bhekicele @SAPSHQ @SANDFCorpEvents… https://t.co/nHxxrlv3tF"
"69","RT @HegKong: Would you support the introduction of Vaccine Passports as a requirement for International travel allowing only those who have…"
"70","RT @taslimanasreen: Bangladesh is buying 30 million doses of Covishield vaccine from India and getting a gift of 2 million doses from govt.…"
"71","RT @shelbygrad: <U+0001F7E6>City of LA is also offering the vaccine to anyone in LA County who is 65 &amp; older, through a different portal, https://t.co…"
"72","RT @CCTV: With Chinese-made vaccine shots reaching people in more countries, booming vaccine cooperation with China worldwide is injecting…"
"73","RT @Soaringeagle51: @DollyParton I think that Dolly should receive the Nobel Peace Prize for leading a life of value and merit. Her generos…"
"74","RT @Snellk: My 105-year-old grandma got her first dose of the COVID-19 vaccine.  She lived through the 1918 pandemic.  Daring to hope she’l…"
"75","RT @CNN: A new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they've had Cov…"
"76",".@gritstoneonc unveils 2 #COVID19 vax designed for CD8 T cells plus Abs via adenoviral-&gt;self-amplifying RNA vector,… https://t.co/MinFxqMaU5"
"77","With Chinese-made vaccine shots reaching people in more countries, booming vaccine cooperation with China worldwide… https://t.co/teMVRPwv3m"
"78","Before New Year’s Day, millions of Americans had received the coronavirus disease 2019 vaccine, including frontline… https://t.co/3uxBNxRRlr"
"79","Health workers are at higher risk of COVID infection and illness. That’s why health workers have been prioritised t… https://t.co/vBaHs5TntI"
"80","RT @HegKong: Would you support the introduction of Vaccine Passports as a requirement for International travel allowing only those who have…"
"81","Dispensary Offering Pre-Roll to Those Who Get COVID Vaccine. Read more at https://t.co/BVxIZzhqg3
#FindHempCBD #cbd… https://t.co/17EESTtPHU"
"82","RT @GovTimWalz: Even as the vaccine begins to save lives, thousands of families are mourning those we’ve lost to COVID-19. Today our flags…"
"83","I have emerged from my slumber for one final grand countdown. However, upon seeing what has happened since we last… https://t.co/v4zzsnQwTU"
"84","Over 35 million doses of Covid-19 vaccines have been administered to people in 49 countries. Health problems and th… https://t.co/rXxrIiXsXZ"
"85","@MYANC 
@EFFSouthAfrica 
@_AfricanUnion  

Hot off the press: 
1. #COVAX doesn't reduce risk of reinfection
2.… https://t.co/Fv5xnTUNL0"
"86","RT @lastmilehealth: Only 25 doses of COVID-19 vaccines have been administered across all poor countries, compared to 39 million in wealthy…"
"87","In just a matter of hours, the COVID-19 vaccine registration at Publix stores across Palm Beach County will open.… https://t.co/Rh08to4lGd"
"88","COVID vaccine brings sense of relief for local healthcare worker https://t.co/TnIOLdejmX"
"89","Tourism workers here will have early access to vaccines against coronavirus disease 2019 (COVID-19) once these beco… https://t.co/a3KDvcUMZy"
"90","RT @pwafork: I’m pro-vaccine, but governments’ insistence that even with a jab we won’t necessarily get to travel or ease restrictions not…"
"91","RT @taslimanasreen: Bangladesh is buying 30 million doses of Covishield vaccine from India and getting a gift of 2 million doses from govt.…"
"92","RT @VladeBlue: @FullFact “covid-19 vaccine itself does not seem to have affected fertility” but “pregnant woman have been adviced not to ha…"
"93","RT @shelbygrad: <U+0001F7E6>City of LA is also offering the vaccine to anyone in LA County who is 65 &amp; older, through a different portal, https://t.co…"
"94","@ElizLanders @MaddowBlog @jrpsaki It’ll probably be boring. Policy statements, info on COVID vaccine distribution,… https://t.co/iYFaivIKhN"
"95","The latest #COVID19 dashboard: https://t.co/OJPj1KVuVx

<U+2194><U+FE0F>Daily positive rate: 8.40%
<U+2194><U+FE0F>4-day avg: 9.35%
<U+2B07><U+FE0F>JMH posit… https://t.co/HQEj3zTe8N"
"96","RT @CNN: A new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they've had Cov…"
"97","RT @CountyofLA: COVID-19 Vaccine Virtual Town Hall https://t.co/1JWgRxPVBT"
"98","RT @ncannellf: A few weeks ago, the startup Philly Fighting Covid launched a citywide vaccine pre-registry, ""in lock step"" with the city he…"
"99","In this together: @MalawianUKNurse @filipinonurseuk @BINA_UK @pnauk @NNCAUK https://t.co/8iIUCsLK5J"
"100","@Electric_Tracer @MegaTenStruggle Nobody (smart) believes covid will just go away with the vaccine. It will help, b… https://t.co/ndmKlVTNJj"
"101","RT @Ethirajans: Tamil channels desperately report the side effects caused by Covid Vaccine in South American countries!

Awaiting their pre…"
"102","I support a #PeoplesVaccine! I’m calling on @BioNTech_Group to commit right now to ensuring the COVID-19 vaccine is… https://t.co/GjOAEBVuX5"
"103","RT @DHSCgovuk: The rollout of the #COVID19 vaccine is accelerating, with vaccinations now offered at around 1,200 sites.

More than 80,000…"
"104","RT @ChrisHo57357908: Three weeks into the covid pandemic, Norway recorded 5 deaths WITH Covid-19. Three weeks into vaccinations, Norway has…"
"105","@fact_covid @MattHancock It's not a vaccine its experimental gene therapy. I thought this was a page for fact checking."
"106","RT @newscientist: Covid-19 news: UK vaccine rollout extended to people 70 and over https://t.co/PO49pQefQR https://t.co/BKSZKJCHF7"
"107","RT @DHSCgovuk: The rollout of the #COVID19 vaccine is accelerating, with vaccinations now offered at around 1,200 sites.

More than 80,000…"
"108","RT @FergalBowers: The EMA has confirmed that no deaths have been attributed to a Covid-19 vaccine to date."
"109","@MailOnline Gets hit by a bus = covid death

Dies after vaccine = some obscure condition that lay dormant within th… https://t.co/akOUjPRgz7"
"110","RT @MsJulieLenarz: This is a shameful distortion of reality.

Israel's Arab residents and the Palestinians of east Jerusalem are included i…"
"111","RT @meganmesserly: ...essential public transportation, remaining essential public health workforce and mortuary services. Education/NSHE ap…"
"112","RT @TimNoEgo: Seriously, fuck religion. 
https://t.co/yB0lp7isO6"
"113","RT @NC_PLWC: We collaborated with @nu_abolition on a COVID vaccine factsheet for prisoners. We'll be mailing these out soon with zines &amp; le…"
"114","Doctors in Norway are investigating the deaths of 23 elderly patients who had received the Pfizer/BioNTech coronavi… https://t.co/wgMSScuVpc"
"115","<U+0001F30F> Global COVID-19 vaccine rollout

<U+2B1C><U+2B1C><U+2B1C><U+2B1C><U+2B1C><U+2B1C><U+2B1C><U+2B1C><U+2B1C><U+2B1C><U+2B1C><U+2B1C><U+2B1C><U+2B1C><U+2B1C> 0.26%

Vaccine doses deployed: 40.4M
The rollout seems to be spe… https://t.co/s9nhybeZ7e"
"116","RT @DHSCgovuk: The rollout of the #COVID19 vaccine is accelerating, with vaccinations now offered at around 1,200 sites.

More than 80,000…"
"117","RT @people: NBA Legend Kareem Abdul-Jabbar Urges the Public to Get COVID-19 Vaccine in New PSA<U+200B> https://t.co/u1wToKSY06"
"118","Fraudsters Impersonate Vaccine Manufacturers, WHO, DHLResearchers at the security firm Proofpoint are tracking seve… https://t.co/teMKXcDDlb"
"119","RT @skarlamangla: Omg: So many people have died in Los Angeles County that officials have temporarily suspended air-quality regulations tha…"
"120","me: posts on the class' (ethics) discussion board about people receiving the COVID vaccine who aren't front line or… https://t.co/PjBZSZy4eJ"
"121","RT @MarkStoval: My wife’s best friend is a retired, elderly nurse. She and her three family members who care for her got the Covid vaccine.…"
"122","RT @prajwalmanipal: Nagaraj, a 43-year old attendant at a Ballari hospital, is one of two persons who died in India after taking COVID-19 v…"
"123","RT @nowthisnews: Johnson &amp; Johnson says its one-dose COVID-19 vaccine generated both antibody and T-cell responses against the virus with f…"
"124","RT @rtenews: Transparency around how the Covid vaccine is being rolled out was back in the spotlight today. The HSE says it issued guidance…"
"125","RT @CGTNOfficial: ""It will save a lot of lives,"" said #Serbian President Aleksandar Vucic @avucic as he greeted the first batch of 1 millio…"
"126","RT @DHSCgovuk: The rollout of the #COVID19 vaccine is accelerating, with vaccinations now offered at around 1,200 sites.

More than 80,000…"
"127","@kentlivenews Can someone start up a petition to get folkestone recognised for covid-19 vaccine, we are seriously l… https://t.co/dSwfNtXiJk"
"128","RT @skarlamangla: Omg: So many people have died in Los Angeles County that officials have temporarily suspended air-quality regulations tha…"
"129","RT @AgentP22: Scottish nationalism in 2 tweets.

One won't have a #covid vaccine if it's administered by the British Army and the other won…"
"130","RT @gabrieloguda: George Natembeya has told those Turkana MPs asking to be evacuated to tell him who will help the Gov't solve the problem…"
"131","Labour want everything to be free and also given away to others before us . #obingo @Iromg 

https://t.co/E0n4HMNEJd"
"132","RT @TheLastWord: Dr. Anthony Fauci tells @Lawrence that the flow of Covid-19 vaccines is steady enough to ensure everyone will get their se…"
"133","RT @business: Health authorities in Norway say there’s no evidence of a direct link between the recent string of deaths among elderly peopl…"
"134","@JuliaHB1 @ajcdeane A Covid and 2nd wave denier taking pride of the vaccines roll-out? You know that if there is no… https://t.co/bmWzRzFKzD"
"135","My mother is 76. She got the call today, her first dose of #Covid-19 vaccine is happening on Friday. Relieved. <U+0001F489>"
"136","RT @skarlamangla: Omg: So many people have died in Los Angeles County that officials have temporarily suspended air-quality regulations tha…"
"137","RT @DHSCgovuk: #COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.

As of 18 Jan…"
"138","RT @MRSS11224611: 10 Dead In Germany Within 4 Days Of Covid-19 Vaccine Inoculation; Probe Ordered.

https://t.co/KZg09AskH2"
"139","RT @nypost: Norway finds no evidence that COVID-19 vaccine caused deaths among elderly https://t.co/IskZbt7R3Z https://t.co/CNdnxsdsXF"
"140","RT @nowthisnews: Johnson &amp; Johnson says its one-dose COVID-19 vaccine generated both antibody and T-cell responses against the virus with f…"
"141","Anti-vaccine groups receive more than $850,000 in COVID relief program - The Washington Post... this is just great  https://t.co/Ais545n58n"
"142","California warns against using a batch of Moderna COVID-19 vaccines after allergic reactions https://t.co/RQaauhx1YJ"
"143","Please before you take the covid 19 vaccine as a black person give the doctor ready to vaccinate you your medical r… https://t.co/kRMBmojNvh"
"144","RT @CDPHE: Colorado is ready for COVID-19 vaccines and will distribute vaccines as quickly as the supply chain allows. As we wait for Color…"
"145","I thought getting the COVID-19 vaccine would immediately catapult me into the After Times. Instead, it has just pre… https://t.co/xBQwNB87as"
"146","RT @MailOnline: Norway denies 'direct link' between deaths of 33 elderly people and Pfzier Covid vaccine they received
https://t.co/3LQOOOj…"
"147","#LSRMexicoReport | The Foreing Minister trusts that all mexican workers in the United States receive the COVID rega… https://t.co/NY3Iw9vHGB"
"148","RT @boblister_poole: Andrew Neil exposes Sturgeon and Drakeford's flaws in vaccine rollout - stark charts https://t.co/fZBrswsLTz"
"149","RT @IOL: South Africa, which has yet to receive its first coronavirus vaccine doses, will be getting 9 million from Johnson and Johnson, th…"
"150","RT @people: NBA Legend Kareem Abdul-Jabbar Urges the Public to Get COVID-19 Vaccine in New PSA<U+200B> https://t.co/u1wToKSY06"
"151","@Roman_Baber @C53758546Mandy @fordnation Add the fatalities because of general hospital care postponed because of c… https://t.co/Cu3vVxeXWe"
"152","RT @skarlamangla: Omg: So many people have died in Los Angeles County that officials have temporarily suspended air-quality regulations tha…"
"153","RT @JujuliaGrace: The government are talking about numbers of people “vaccinated”, again and again

You wouldn’t say someone has received a…"
"154","RT @lifebiomedguru: PEG sensitivity is very high - about 74% in the population.

The use of PEG to encapsulate the mRNA in COVID-19 vaccine…"
"155","...essential public transportation, remaining essential public health workforce and mortuary services. Education/NS… https://t.co/sb0RXRZL5O"
"156","RT @karol: Cuomo played politics with the virus and lost. https://t.co/LBF0KklhAR"
"157","RT @AndrewWHAM: #NEW: Monroe County Department of Health says they are an expecting allocation of only 1,500 new COVID vaccine doses this w…"
"158","RT @rajpanjabi: Nearly 40 million doses of COVID-19 vaccine have been administered to people in ~50 wealthy countries. 

Just 25 doses have…"
"159","RT @nowthisnews: Johnson &amp; Johnson says its one-dose COVID-19 vaccine generated both antibody and T-cell responses against the virus with f…"
"160","RT @RosLehtinen: The good news is that I had my 1st COVID vaccine!

The bad news is that I couldn’t get the 2nd appointment and was told I…"
"161","RT @mlchealth: Covid Vaccine - there are real gaps in the system with a small number of surgeries not even having started yet.. @BBCNewsNI…"
"162","RT @Davyshanks: UPDATE: ALL care home residents in the @NHSGrampian region who were fit, able and willing to receive the COVID vaccine have…"
"163","RT @EmpowerWi: As @GovEvers and his PR agents in mainstream media try to cover up the governor's COVID vaccine distribution fiasco, they ca…"
"164","RT @gabrieloguda: George Natembeya has told those Turkana MPs asking to be evacuated to tell him who will help the Gov't solve the problem…"
"165","@BorisJohnson Before you all chime in about having a Part 2 of the Jab...

it becomes effective on the first dose… https://t.co/cQh0fCmviq"
"166","2 #COVID19 related deaths reported of Pahrump deaths. 

36 new COVID-19 positive cases reported and confirmed, with… https://t.co/XEUzBVYv0H"
"167","RT @DrAmirKhanGP: People from minority ethnic backgrounds have been targeted by misinformation about the Covid vaccines 

They are safe and…"
"168","RT @nowthisnews: Johnson &amp; Johnson says its one-dose COVID-19 vaccine generated both antibody and T-cell responses against the virus with f…"
"169","RT @CBCAlerts: New Brunswick has 26 additional COVID-19 cases, 1 day after a pandemic high of 36 cases were diagnosed. The province's 7-day…"
"170","Fears of Covid vaccine lottery as some over-70s could get jabs before higher risk groups
https://t.co/GriE2ym5Af"
"171","RT @gabrieloguda: George Natembeya has told those Turkana MPs asking to be evacuated to tell him who will help the Gov't solve the problem…"
"172","RT @NVICLoeDown: #California pauses use of large batch of #Moderna #COVID19 vaccine | KTLA https://t.co/2gIH4qnwWB

""330,000 doses distribu…"
"173","RT @TCHDHealth: Keep up to date on the most recent information on the #COVID19vaccine by visiting: the @CDCgov @CDPHE, and of course, us! F…"
"174","Pakistan approves China’s Sinopharm COVID-19 vaccine for emergency use https://t.co/PH6tL8iLoR"
"175","If you are over 65, a child are worker or an educator, you can register online starting tomorrow 1/19 to get a COVI… https://t.co/Xi7FbBeR4k"
"176","RT @skarlamangla: Omg: So many people have died in Los Angeles County that officials have temporarily suspended air-quality regulations tha…"
"177","RT @Effiedeans: Scotland has nearly 15 times the Covid deaths as Norway, now Sturgeon's vaccine delays are killing more
https://t.co/Pfvy3I…"
"178","I support a #PeoplesVaccine! I’m calling on @Novavax to commit right now to ensuring the COVID-19 vaccine is distri… https://t.co/lierzgpRDr"
"179","RT @ChrisPuzak: @zeynep I got four push notifications on my phone for this story alone
https://t.co/NyikkofcBf

When the media breathlessly…"
"180","Dr. Anthony Fauci tells @Lawrence that the flow of Covid-19 vaccines is steady enough to ensure everyone will get t… https://t.co/O1Rb7Q5mGK"
"181","RT @Tomunism_: There are so few people infected with COVID in Cuba, that the country can’t test its own vaccine https://t.co/lGyjAeNhmB"
"182","RT @CASAAmedia: PUBLIC HEALTH BIAS: Outrage over ""smokers"" getting COVID vaccine completely ignores the fact that smoking/vaping is most pr…"
"183","Once vaccinated, senior citizens will be eager to spend time with their grandkids. However, they should wait until… https://t.co/kMeo9dhhJd"
"184",". @GOP @senatemajldr @GOPLeader @libertycaucus @freedomcaucus @justinamash @RepThomasMassie

Govt-run digital Covid… https://t.co/USBeWNnb0h"
"185","RT @SFGate: Last week, CA Gov. @GavinNewsom announced that residents 65 and above were now eligible to schedule appointments to receive eit…"
"186","RT @AdityaGoswami_: Sh @RahulGandhi is likely to address a Press Conference tomorrow at AICC.
He will present Congress' views on various is…"
"187","RT @skarlamangla: Omg: So many people have died in Los Angeles County that officials have temporarily suspended air-quality regulations tha…"
"188","Learn everything you wanted to know about the new COVID-19 vaccines in the article ""COVID-19 Vaccine Questions Answ… https://t.co/YWZs9F8UNm"
"189","RT @MartinxHodgson: ""The world is on the brink of a catastrophic moral failure and the price of this failure will be paid with lives and li…"
"190","RT @Max46023367: @sapiofoxxy @covid_500 Jon Snow interviewing Sir john Bell,a member of Sage..Bell blurts out that this Vaccine will Steril…"
"191","RT @magedalaolke1: ..Coronavirus and announcing the miracle of healing without vaccine nor medicine
24 - Rabi Akhir - 1442 AH
09 - 12 - 202…"
"192","@RupertaMargate It absolutely does. It is 100% guaranteed against serious symptoms. 
Which means you might get mild… https://t.co/ZJGRZrGlLa"
"193","RT @theblogmire: “All of these patients have had serious underlying illnesses. We can’t say that people die *from* the vaccine.""

I'm sure…"
"194","RT @Davyshanks: UPDATE: ALL care home residents in the @NHSGrampian region who were fit, able and willing to receive the COVID vaccine have…"
"195","I haven’t heard of it yet so I’m coining a new anxiety term. “Vaccine guilt” 

When you’ve gotten both of your Covi… https://t.co/SpfmKS9blp"
"196","RT @kanimozhi: Prime Minister and other Minister who are working hard in saving this nation lives are very precious for all Indians. Hence,…"
"197","Just gave a talk on vaccines to prevent COVID-19 to a great group of post doc Fellows as part of @alkabanov T32 gro… https://t.co/h3JyNz1JWi"
"198","He criticized drugmakers’ profits and vaccine inequalities, saying it’s “not right” that younger, healthier adults… https://t.co/HBZkWo8qs0"
"199","The rollout of the #COVID19 vaccine is accelerating, with vaccinations now offered at around 1,200 sites.

More tha… https://t.co/9C8LEL78Oc"
"200","RT @RolandBakerIII: California State Epidemiologist Dr. Erica S. Pan issued a statement on Sunday evening recommending providers pause the…"
"201","Awesome news:

https://t.co/U8gn9Jcwyv"
"202","COVID-19 vaccination by province.

https://t.co/Jz0yiCYjus

(Graphic by Darren Francey/Postmedia)
#COVID19AB #ableg https://t.co/1vM0SbzLKP"
"203","RT @obviousreally: @KirstieMAllsopp #Vaccine does NOT stop you from getting #COVID or spreading. 
Not 100% tested properly, &amp; that's why #g…"
"204","RT @nowthisnews: Johnson &amp; Johnson says its one-dose COVID-19 vaccine generated both antibody and T-cell responses against the virus with f…"
"205","RT @newscientist: Covid-19 news: UK vaccine rollout extended to people 70 and over https://t.co/PO49pQefQR https://t.co/BKSZKJCHF7"
"206","@DunnsDee @AdamJKucharski @andrew_croxford @BallouxFrancois @iamgkadam Let's see. Early results when they tested th… https://t.co/G12H5xJsyS"
"207","RT @JujuliaGrace: The government are talking about numbers of people “vaccinated”, again and again

You wouldn’t say someone has received a…"
"208","Take special note - monitor sites like this - and remember to look at population-specific data.

Low vaccine accept… https://t.co/ZbultLk02T"
"209","RT @nowthisnews: Johnson &amp; Johnson says its one-dose COVID-19 vaccine generated both antibody and T-cell responses against the virus with f…"
"210","RT @JujuliaGrace: The government are talking about numbers of people “vaccinated”, again and again

You wouldn’t say someone has received a…"
"211","RT @RobertKennedyJr: California’s top epidemiologist issued a statement Sunday evening recommending a pause on the use of a huge batch of #…"
"212","RT @RepsForBiden: Incoming Biden Chief of Staff Ron Klain: We’re ‘Inheriting a Huge Mess’ on Covid Vaccine Rollout
https://t.co/q4GbBd07rV"
"213","The Rational, The Reasonable, and Covid-19 Vaccine Policy https://t.co/ZuIQAT7Mne"
"214","RT @skarlamangla: Omg: So many people have died in Los Angeles County that officials have temporarily suspended air-quality regulations tha…"
"215","RT @BrendanRMarks: Coach K says he and Coach Cutcliffe got their first dose of the COVID-19 vaccine last Thursday or Friday."
"216","Dentist facing charge for putting pressure on employees to get COVID-19 vaccine : Coronavirus (COVID-19) microsite https://t.co/E57ybs9Ohu"
"217","RT @nckhui: Wake County school board will hear Tuesday from county Human Public Health Team on the planning for &amp; access to the COVID-19 va…"
"218","RT @DrAmirKhanGP: People from minority ethnic backgrounds have been targeted by misinformation about the Covid vaccines 

They are safe and…"
"219","RT @MnDeptEd: Minnesota’s innovative COVID-19 vaccine pilot program will get the vaccine to those who need it most while we wait for the fe…"
"220","RT @AlexBerenson: 1/ @cdcgov has released its updated batch of reported Covid vaccine side effect data, through Jan. 8, when roughly 6.6 mi…"
"221","We are not able to accept walk-ins at any of our COVID -19 vaccine clinics at this time. Please call 407-631-0499 t… https://t.co/P5uhuyLh1d"
